Name,Position,FDPT,Salary
Christian McCaffrey,RB,316.6,75.4
Saquon Barkley,RB,274,71.1
Ezekiel Elliott,RB,269.8,63.5
Michael Thomas,WR,263.9,55.9
Dalvin Cook,RB,259.8,58
Derrick Henry,RB,248,58.2
Alvin Kamara,RB,248,60.4
Davante Adams,WR,236.1,49
Julio Jones,WR,228.4,43.7
Clyde Edwards-Helaire,RB,224.9,50.2
Miles Sanders,RB,224.2,41.9
Aaron Jones,RB,219.3,40
Kenyan Drake,RB,218.6,44.1
Joe Mixon,RB,218.1,50.2
Austin Ekeler,RB,217.1,38.6
Tyreek Hill,WR,216.6,47.1
Nick Chubb,RB,214.7,47.7
DeAndre Hopkins,WR,212,41.3
Josh Jacobs,RB,211.2,44.3
Chris Godwin,WR,208.5,31.9
Travis Kelce,TE,207.6,40.3
Chris Carson,RB,202.6,24.7
Todd Gurley,RB,199.1,22.2
Mike Evans,WR,198.6,26.1
Kenny Golladay,WR,197.8,26.8
Leonard Fournette,RB,196.7,
D.J. Moore,WR,195.5,19.7
Le'Veon Bell,RB,195,15.3
David Johnson,RB,194.5,13.1
Robert Woods,WR,194.4,9.4
Amari Cooper,WR,192,17.1
Cooper Kupp,WR,191.6,13.4
Adam Thielen,WR,190.1,24.6
George Kittle,TE,189.7,36.6
Calvin Ridley,WR,189.6,12.1
Allen Robinson,WR,189.1,24.9
Tyler Lockett,WR,186.7,9.4
Keenan Allen,WR,186.2,7.7
A.J. Brown,WR,184,17.6
James Conner,RB,183.2,25.2
Melvin Gordon,RB,183.1,22.5
Odell Beckham Jr.,WR,182.5,26.1
JuJu Smith-Schuster,WR,180,20.3
DeVante Parker,WR,178.4,7.1
Courtland Sutton,WR,176,9
Terry McLaurin,WR,173.9,10.8
T.Y. Hilton,WR,173.2,6.5
Jarvis Landry,WR,168.8,3.1
Devin Singletary,RB,168.7,10.3
D.K. Metcalf,WR,168,9.6
Michael Gallup,WR,166.6,4.6
Stefon Diggs,WR,166.4,5.7
A.J. Green,WR,166.4,4.5
Zach Ertz,TE,166.3,13.3
D.J. Chark,WR,165.7,9.8
Julian Edelman,WR,161.5,2.5
Mark Ingram II,RB,161.2,14.7
Tyler Boyd,WR,161.1,3.8
David Montgomery,RB,160.3,9.9
Pittsburgh,D,120.6,3.5
Marquise Brown,WR,159.1,4.4
Mark Andrews,TE,158.7,18.9
Jonathan Taylor,RB,157.5,21.1
Ronald Jones II,RB,157.4,5.2
Darren Waller,TE,152.6,8.3
Raheem Mostert,RB,151.9,12.1
Kareem Hunt,RB,150.8,7
Diontae Johnson,WR,148.7,1.7
D'Andre Swift,RB,147.6,8.7
Brandin Cooks,WR,146.5,2.4
Will Fuller,WR,145.9,3.1
Cam Akers,RB,141.1,8.9
Kerryon Johnson,RB,138.9,2
John Brown,WR,138.5,1.4
Mike Williams,WR,138,
James White,RB,137.2,1.9
Evan Engram,TE,136,3
Deebo Samuel,WR,135.4,3.9
Tarik Cohen,RB,134.7,1.8
Darius Slayton,WR,134.5,1.4
Jalen Reagor,WR,132.2,
Emmanuel Sanders,WR,129.4,1.5
Tyler Higbee,TE,129.4,4
Hunter Henry,TE,128.9,3.7
Marlon Mack,RB,128,2.3
Henry Ruggs III,WR,127.9,1.4
CeeDee Lamb,WR,127.1,2.1
Jared Cook,TE,126.3,2.7
Phillip Lindsay,RB,125.7,2.4
Jordan Howard,RB,124.1,2.8
Matt Breida,RB,122,2.2
Jerry Jeudy,WR,121.8,1.9
Tevin Coleman,RB,119.6,1.5
Hayden Hurst,TE,118.7,2.5
Rob Gronkowski,TE,117.9,3.7
Duke Johnson,RB,115.2,13.1
Austin Hooper,TE,114.3,1.7
Mike Gesicki,TE,114.2,1.3
Latavius Murray,RB,111.5,2
Mecole Hardman,WR,109.7,
Adrian Peterson,RB,109.3,
Darrell Henderson,RB,107.7,1.4
T.J. Hockenson,TE,105.4,
J.K. Dobbins,RB,105.1,5.4
Larry Fitzgerald,WR,105.1,1.1
Sony Michel,RB,103,2.7
Lamar Jackson,QB,355.2,34.9
Patrick Mahomes,QB,342,38
Dak Prescott,QB,314.1,11.6
Deshaun Watson,QB,312.1,8.2
Russell Wilson,QB,304,10.7
Kyler Murray,QB,294.9,9.8
Josh Allen,QB,293.9,3.8
Matt Ryan,QB,285.9,3.2
Tom Brady,QB,278,3.4
Drew Brees,QB,275.9,3.5
Aaron Rodgers,QB,274,2.4
Carson Wentz,QB,270.3,2.5
Matthew Stafford,QB,260.9,1.9
Cam Newton,QB,257.5,1.7
Baker Mayfield,QB,245.9,1.3
Ben Roethlisberger,QB,244.5,1.3
Jimmy Garoppolo,QB,241.3,1.5
Joe Burrow,QB,240.5,1.7
Derek Carr,QB,225,1.4
Sam Darnold,QB,224.4,
