180.3333333,118.6666667,149.5,,,Pick,Value,,,57,,,,,57
148.5,124.75,136.625,,,1,305.1666666,267.4166667,,101,,,,2,101
128,109,118.5,,,2,289.625,261.0833333,,90,,,,3,90
120.8333333,120.9166667,120.875,,,3,272.8333333,251.5,,121,,,,4,121
116,102.25,109.125,,,4,275.2083333,252.6666666,,88.5,,,,5,88.5
111,85,98,,,5,265.7916667,260.75,,59,,,,6,59
104,73.75,88.875,,,6,255.6666667,241,,43.5,,,,7,43.5
97,93.25,95.125,,,7,249.7083333,235.5833333,,89.5,,,,8,89.5
94.33333333,82.66666667,88.5,,,8,256.7916667,255.9166667,,71,,,,9,71
89.83333333,55.41666667,72.625,,,9,254.1666667,249.3333333,,21,,,,10,21
84.5,78.75,81.625,,,10,242.4583333,226.25,,73,,,,11,73
80.83333333,77.16666667,79,,,11,254.7916667,252.9166667,,73.5,,,,12,73.5
77,57.25,67.125,,,12,243.7916667,252.8333333,,37.5,,,,13,37.5
74.66666667,48.33333334,61.5,,,,,,,22,,,,14,22
71.66666667,54.33333334,63,,,,,,,37,,,,15,37
68.5,54,61.25,,,,,,,39.5,,,,16,39.5
66.5,70,68.25,,,,,,,73.5,,,,17,73.5
63.83333333,54.91666667,59.375,,,,,,,46,,,,18,46
61.33333333,57.66666667,59.5,,,,,,,54,,,,19,54
59.83333333,59.91666667,59.875,,,,,,,60,,,,20,60
57.33333333,45.16666667,51.25,,,,,,,33,,,,21,33
56.16666667,39.58333334,47.875,,,,,,,23,,,,22,23
54.16666667,44.58333334,49.375,,,,,,,35,,,,23,35
52.66666667,42.58333334,47.625,,,,,,,32.5,,,,24,32.5
50.66666667,53.83333334,52.25,,,,,,,57,,,,25,57
49.16666667,40.08333334,44.625,,,,,,,31,,,,26,31
48.5,51.25,49.875,,,,,,,54,,,,27,54
46.83333333,34.41666667,40.625,,,,,,,22,,,,28,22
45.5,45.25,45.375,,,,,,,45,,,,29,45
44.66666667,29,36.83333334,,,,,,,,,,,,
43.66666667,28,35.83333334,,,,,,,,,,,,
42.16666667,27,34.58333334,,,,,,,,,,,,
40.66666667,26,33.33333334,,,,,,,,,,,,
40.16666667,25,32.58333334,,,,,,,,,,,,
39.83333333,24,31.91666667,,,,,,,,,,,,
38,23,30.5,,,,,,,,,,,,
35.5,22,28.75,,,,,,,,,,,,
34.33333333,21,27.66666667,,,,,,,,,,,,
33.5,20,26.75,,,,,,,,,,,,
32.16666667,19,25.58333334,,,,,,,,,,,,
30.33333333,18,24.16666667,,,,,,,,,,,,
29.33333333,17,23.16666667,,,,,,,,,,,,
27.5,16,21.75,,,,,,,,,,,,
27,15,21,,,,,,,,,,,,
26.33333333,14,20.16666667,,,,,,,,,,,,
25.33333333,13,19.16666667,,,,,,,,,,,,
24.5,12,18.25,,,,,,,,,,,,
24,11,17.5,,,,,,,,,,,,
23.33333333,10,16.66666667,,,,,,,,,,,,
21.33333333,9,15.16666667,,,,,,,,,,,,
20.5,8,14.25,,,,,,,,,,,,
19.16666667,7,13.08333334,,,,,,,,,,,,
18.33333333,6,12.16666667,,,,,,,,,,,,
17.66666667,5,11.33333334,,,,,,,,,,,,
17,4,10.5,,,,,,,,,,,,
15.16666667,3,9.083333335,10.1667,,,,,,,,,,,
14.83333333,2,8.416666665,9.8334,,,,,,,,,,,
14,1,7.5,9.5001,,,,,,,,,,,
13,0,6.5,9.1668,,,,,,,,,,,
12.33333333,-1,5.666666665,8.8335,,,,,,,,,,,
11.83333333,-2,4.916666665,8.5002,,,,,,,,,,,
11.33333333,-3,4.166666665,8.1669,,,,,,,,,,,
10.5,-4,3.25,7.8336,,,,,,,,,,,
9.5,-5,2.25,7.5003,,,,,,,,,,,
7.5,-6,0.75,7.167,,,,,,,,,,,
7,-7,0,6.8337,,,,,,,,,,,
6.5,-8,0,6.5004,,,,,,,,,,,
6,-9,0,6.1671,,,,,,,,,,,
4.666666667,-10,0,5.8338,,,,,,,,,,,
3.833333333,-11,0,5.5005,,,,,,,,,,,
3.833333333,-12,0,5.1672,,,,,,,,,,,
2.833333333,-13,0,4.8339,,,,,,,,,,,
2.166666667,-14,0,4.5006,,,,,,,,,,,
2,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
